,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
598,Fondel Metal Participations B.V. (Dutch),09-Jan-07,"Oil, Gas & Mining",Contract,,"January 23, 2009 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Azerbaijan (Azerbaijani),Concluded,Aluminium and alumina production company
599,"Daniela Contri (Italian), Dora Foresti (Italian), Finstone s.à.r.l. (Luxembourg), Franca Contri (Italian), Ida Laura de Carli (Italian), Maria Teresa Suardo (Italian), Paola Suardo (Italian), Piero Foresti (Italian)",08-Jan-07,"Oil, Gas & Mining",BIT Belgium-Luxembourg - South Africa 1998,,"August 4, 2010 - The Tribunal renders its award; attached to the award is a concurring opinion by one of the arbitrators.",Republic of South Africa (South African),Concluded,Quarrying and trading enterprise
600,City Oriente Limited (Panamanian),19-Dec-06,"Oil, Gas & Mining",Contract,,"September 22, 2008 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (Petroecuador) (Ecuadoran),Concluded,Hydrocarbon concession
601,"Electric Machinery Enterprises Inc. (U.S.), Jaime Jurado (U.S.), Nations Energy, Inc. (U.S.)",11-Dec-06,Electric Power & Other Energy,BIT United States of America - Panama 1982,,"November 24, 2010 - The Tribunal renders its award; attached to the award is a dissenting opinion by one of the arbitrators.",Republic of Panama (Panamanian),Concluded,Electricity power generation project
602,Joseph C. Lemire (U.S.),08-Dec-06,Information & Communication,BIT Ukraine - United States of America 1994 - Contract,,"March 28, 2011 - The Tribunal renders its award; attached to the award is a dissenting opinion by one of the arbitrators.",Ukraine (Ukrainian),Concluded,Radio broadcasting enterprise
603,"Cementownia ""Nowa Huta"" S.A. (Polish)",16-Nov-06,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"September 17, 2009 - The Tribunal renders its award.",Republic of Turkey (Turkish),Concluded,Electricity concessions
604,"Eurocontrol, S.A. (Spanish), Técnicas Reunidas, S.A. (Spanish)",31-Oct-06,"Oil, Gas & Mining",BIT Ecuador - Spain 1996,,"May 13, 2008 - The Acting Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Republic of Ecuador (Ecuadoran),Concluded,Oil refinery expansion
605,Barmek Holding A.S. (Turkish),16-Oct-06,Electric Power & Other Energy,BIT Turkey - Azerbaijan 1994 - Contract,,"September 28, 2009 - The Tribunal renders the award embodying the parties�_settlement agreement pursuant to ICSID Arbitration Rule 43(2).",Republic of Azerbaijan (Azerbaijani),Concluded,Electricity concession
606,"Azpetrol Group B.V. (Dutch), Azpetrol International Holdings B.V. (Dutch), Azpetrol Oil Services Group B.V. (Dutch)",30-Aug-06,"Oil, Gas & Mining",ECT (Energy Charter Treaty),,"September 8, 2009 - The Tribunal renders its award.",Republic of Azerbaijan (Azerbaijani),Concluded,"Oil and gas distribution, trade, storage and transportation enterprise"
607,"Aguaytia Energy, LLC (U.S.)",17-Jul-06,Electric Power & Other Energy,Contract,,"December 11, 2008 - The Tribunal renders its award.",Republic of Peru (Peruvian),Concluded,Electricity generation and transmission
608,Scancem International ANS (Norwegian),17-Jul-06,Construction,Contract,,"July 10, 2008 - The Acting Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Republic of Congo (Congolese),Concluded,Cement production and distribution
609,"Occidental Exploration and Production Company (U.S.), Occidental Petroleum Corporation (U.S.)",13-Jul-06,"Oil, Gas & Mining",BIT Ecuador - United States of America 1993 - Contract,,"October 5, 2012 - The Tribunal renders its award; attached to the award is a dissenting opinion by one of the arbitrators.",Republic of Ecuador (Ecuadoran),Concluded,Hydrocarbon concession
610,"Chevron Bangladesh Block Twelve, Ltd. (British), Chevron Bangladesh Blocks Thirteen and Fourteen, Ltd. (British)",30-Jun-06,"Oil, Gas & Mining",Contract,,"May 17, 2010 - The Tribunal renders its award.",People's Republic of Bangladesh (Bangladeshi),Concluded,"Exploration, development, and production of natural gas"
611,Branimir Mensik (Swiss),10-May-06,"Water, Sanitation & Flood Protection",BIT Switzerland - Czech Republic 1990,,"December 9, 2008 - The Tribunal issues an order for the discontinuance of the proceeding for lack of payment of advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Slovak Republic (Slovak),Concluded,Mineral water spring project
612,Libananco Holdings Co. Limited (Cypriot),19-Apr-06,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"September 2, 2011 - The Tribunal renders its award.",Republic of Turkey (Turkish),Concluded,Electricity generation and distribution concessions
613,Sistem Muhendislik Insaat Sanayi ve Ticaret A.S. (Turkish),12-Apr-06,Tourism,BIT Kyrgyz Republic - Turkey 1992 - Investment Law - Kyrgyz Republic (2003),,"September 9, 2009 - The Tribunal renders its award.",Kyrgyz Republic (Kyrgyz),Concluded,Hotel operation project
614,"GDF-Suez Energie Services (French), Togo Electricité (Togolese)",10-Apr-06,Electric Power & Other Energy,Contract,,"August 10, 2010 - The Tribunal renders its award.",Republic of Togo (Togolese),Concluded,Electricity concession
615,Phoenix Action Ltd. (Israeli),23-Mar-06,Other Industry,BIT Israel - Czech Republic 1997,,"April 15, 2009 - The Tribunal renders its award.",Czech Republic (Czech),Concluded,Metal industry project
616,Vestey Group Ltd (British),14-Mar-06,"Agriculture, Fishing & Forestry","BIT Venezuela, Republica Bolivariana de - United Kingdom of Great Britain and Northern Ireland 1995 - Investment Law - Venezuela (1999)","December 7, 2017 - The proceeding is resumed following payment of the required advances.","April 15, 2016 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Farming enterprise
617,The Rompetrol Group N.V. (Dutch),14-Feb-06,"Oil, Gas & Mining",BIT Romania - Netherlands 1994,,"May 6, 2013 - The Tribunal renders its award.",Romania (Romanian),Concluded,Oil refinery
618,"Allan Fosk (Chilean), Non-Metallic Minerals S.A. (Bolivian), Quiborax S.A. (Chilean)",06-Feb-06,"Oil, Gas & Mining",BIT Bolivia - Chile 1994,,"September 16, 2015 - The Tribunal renders its award; attached to the award is a partial dissenting opinion by arbitrator Brigitte Stern.",Plurinational State of Bolivia (Bolivian),Concluded,Mining concession
619,Spyridon Roussalis (Greek),10-Jan-06,Services & Trade,BIT Greece - Romania 1997,,"December 7, 2011 - The Tribunal renders its award; attached to the award is a separate opinion by arbitrator W. Michael Reisman.",Romania (Romanian),Concluded,Food trading company
620,Hrvatska Elektroprivreda d.d. (Croatian),28-Dec-05,Electric Power & Other Energy,"Contract, ECT (Energy Charter Treaty)",,"December 17, 2015 - The Tribunal renders its award.",Republic of Slovenia (Slovenian),Concluded,Nuclear power plant
621,"Ares International S.r.l. (Italian), MetalGeo S.r.l. (Italian)",09-Nov-05,Other Industry,BIT Georgia - Italy 1997,,"February 28, 2008 - The Tribunal renders its award.",Georgia (Georgian),Concluded,Steel industry project
622,Biwater Gauff (Tanzania) Limited (British),02-Nov-05,"Water, Sanitation & Flood Protection",BIT United Kingdom of Great Britain and Northern Ireland - Tanzania 1994 - Investment Law - TANZANIA (1997),,"July 24, 2008 - The Tribunal renders its award.",United Republic of Tanzania (Tanzanian),Concluded,Water and sewer services concession agreement
623,"Société Africaine de Construction au Congo S.A.R.L. (Congolese (D.R.)), African Holding Company of America, Inc. (U.S.)",27-Oct-05,Construction,BIT Zaire - United States of America 1984,,"July 29, 2008 - The Tribunal renders the award; attached to the award is a dissenting opinion by one of the arbitrators.",Democratic Republic of the Congo (Congolese (D.R.)),Concluded,Construction contracts
624,"Ioan Micula (Swedish), S.C. European Food S.A. (Romanian), S.C. Multipack S.R.L. (Romanian), S.C. Starmill S.R.L. (Romanian), Viorel Micula (Swedish)",13-Oct-05,Other Industry,BIT Sweden - Romania 2002,,"December 11, 2013 - The Tribunal renders its award; attached to the award is a separate opinion by arbitrator Georges Abi-Saab.",Romania (Romanian),Concluded,Food products enterprise
625,Helnan International Hotels A/S (Danish),05-Oct-05,Tourism,"BIT Denmark - Egypt, Arab Republic of 1999",,"July 3, 2008 - The Tribunal renders its award.",Arab Republic of Egypt (Egyptian),Concluded,Hotel lease and development agreements
626,Ioannis Kardassopoulos (Greek),03-Oct-05,"Oil, Gas & Mining",BIT Greece - Georgia 1994 - ECT (Energy Charter Treaty),,"March 3, 2010 - The Tribunal renders its award.",Georgia (Georgian),Concluded,Oil and gas distribution enterprise
627,Desert Line Projects LLC (Omani),30-Sep-05,Transportation,"BIT Oman - Yemen, Republic of 1998",,"February 6, 2008 - The Tribunal renders its award.",Republic of Yemen (Yemeni),Concluded,Road construction contract
628,"Rumeli Telekom A.S. (Turkish), Telsim Mobil Telekomunikasyon Hizmetleri A.S. (Turkish)",30-Aug-05,Information & Communication,BIT Turkey - Kazakhstan 1992 - Investment Law - Kazakhstan (1994),,"July 29, 2008 - The Tribunal renders its award.",Republic of Kazakhstan (Kazakhstani),Concluded,Telecommunications enterprise
629,"Cargill, Incorporated (U.S.)",30-Aug-05,Other Industry,NAFTA (North American Free Trade Agreement),,"September 18, 2009 - The Tribunal renders its award.",United Mexican States (Mexican),Concluded,Soft drink sweetener production enterprise
630,"Clorinda Vecchi (Italian), Waguih Elie George Siag (Italian)",05-Aug-05,Tourism,"BIT Egypt, Arab Republic of - Italy 1989",,"June 1, 2009 - The Tribunal renders its award; attached to the award is a dissenting opinion by one of the arbitrators.",Arab Republic of Egypt (Egyptian),Concluded,Resort development
631,RSM Production Corporation (U.S.),05-Aug-05,"Oil, Gas & Mining",Contract,,"March 13, 2009 - The Tribunal renders its award.",Grenada (Grenadian),Concluded,Oil exploration contract
632,EDF (Services) Limited (British),29-Jul-05,Services & Trade,BIT United Kingdom of Great Britain and Northern Ireland - Romania 1995,,"October 8, 2009 - The Tribunal renders its award; attached to the award is a dissenting opinion by one of the arbitrators.",Romania (Romanian),Concluded,Duty free services
633,"MachalaPower Cía. Ltd. (British), Noble Energy Inc. (British)",29-Jul-05,Other Industry,BIT Ecuador - United States of America 1993 - Contract,,"May 20, 2009 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant ICSID Arbitration Rule 43(1).",Republic of Ecuador and Consejo Nacional de Electricidad (Ecuadoran),Concluded,Electricity enterprise
634,Asset Recovery Trust S.A. (Argentine),23-Jun-05,Finance,BIT United States of America - Argentina 1991,,"November 27, 2012 - The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Argentine Republic (Argentine),Concluded,Collection contract
635,"Empresa Eléctrica del Ecuador, Inc. (EMELEC) (U.S.)",26-May-05,Electric Power & Other Energy,BIT Ecuador - United States of America 1993,,"June 2, 2009 - The Tribunal renders its award.",Republic of Ecuador (Ecuadoran),Concluded,Electricity enterprise
636,Saipem S.p.A. (Italian),25-Apr-05,"Oil, Gas & Mining",BIT Bangladesh - Italy 1990,,"June 30, 2009 - The Tribunal renders its award.",People's Republic of Bangladesh (Bangladeshi),Concluded,Gas pipeline project
637,"Bernardus Henricus Funnekotter (Dutch), Carel Frederik des Tombe (Dutch), Dicky Roelanda Breytenbach (Dutch), Erica Hansen (Dutch), Hermannes van Duren (Junior) (Dutch), Johan Pieter Weller (Dutch), Lion Hellmut Benjamins (Dutch), Loekie Weller (Dutch), Margareta van Duren (Dutch), Max Willem Arthur Graaf van Rechteren Limpurg (Dutch), Rolf Jan Philip Walraven (Dutch), Romelia Gwendolyn Fisher (Dutch), Wessel Johannes Weller (Dutch)",15-Apr-05,"Agriculture, Fishing & Forestry",BIT Netherlands - Zimbabwe 1996,,"April 22, 2009 - The Tribunal renders its award.",Republic of Zimbabwe (Zimbabwean),Concluded,Commercial farms
638,TSA Spectrum de Argentina S.A. (Argentine),08-Apr-05,Information & Communication,BIT Netherlands - Argentina 1992,,"December 19, 2008 - The Tribunal renders its award; attached to the award is a dissenting opinion by one arbitrator, and a concurring opinion by another arbitrator.",Argentine Republic (Argentine),Concluded,Telecommunications concession
639,I & I Beheer B.V. (Dutch),06-Apr-05,Finance,"BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)",,"December 28, 2007 - The Tribunal issues an order taking note of the discontinuance of the proceeding in accordance with Article 44 of the ICSID Convention.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Debt instruments
640,"Astaldi, S.p.A. (Italian), LESI, S.p.A. (Italian)",18-Mar-05,"Water, Sanitation & Flood Protection",BIT Algeria - Italy 1991,,"November 12, 2008 - The Tribunal renders its award.",People's Democratic Republic of Algeria (Algerian),Concluded,Construction of a dam
641,"CGE Argentina S.A. (Chilean), Compañía General de Electricidad S.A. (Chilean)",04-Feb-05,Other Industry,BIT Chile - Argentina 1991,,"July 28, 2009 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Argentine Republic (Argentine),Concluded,Electricity distribution concessions
642,"Daimler Financial Services AG (German), DaimlerChrysler Services AG (German)",14-Jan-05,Finance,BIT Germany - Argentina 1991,,"August 22, 2012 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Charles N. Brower and a separate opinion by arbitrator Domingo Bello Janeiro.",Argentine Republic (Argentine),Concluded,Leasing and financial services
